School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
SUN VALLEY EL,Texas,TX ,4.84095E+11,SOUTHWEST ISD,1-Regular school,2-No,2-No,–,11-City: Large,670,41,16.34,Prekindergarten,5th Grade,Elementary
SUN VALLEY ELEMENTARY,California,CA ,063509005940,San Rafael City Elementary,1-Regular school,2-No,2-No,–,13-City: Small,491,–,†,Kindergarten,5th Grade,Elementary
SUN VALLEY ELEMENTARY,Washington,WA ,5.30867E+11,Sunnyside School District,1-Regular school,2-No,2-No,–,41-Rural: Fringe,481,33,14.58,Prekindergarten,Kindergarten,Elementary
SUN VALLEY ELEMENTARY SCHOOL,West Virginia,WV ,5.40084E+11,MERCER COUNTY SCHOOLS,1-Regular school,†,2-No,2-No,42-Rural: Distant,107,7,15.29,Kindergarten,5th Grade,Elementary
SUN VALLEY ELEMENTARY SCHOOL,Arizona,AZ ,040625001425,Peoria Unified School District (4237),1-Regular school,2-No,–,2-No,21-Suburb: Large,846,49.5,17.09,Prekindergarten,8th Grade,Elementary
SUN VALLEY ELEMENTARY SCHOOL,Alabama,AL ,010039001762,Birmingham City,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,719,39,18.44,Prekindergarten,5th Grade,Elementary
SUN VALLEY ELEMENTARY SCHOOL,Nevada,NV ,3.20048E+11,WASHOE COUNTY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,522,33,15.82,Prekindergarten,6th Grade,Elementary
SUN VALLEY HIGH,North Carolina,NC ,3.70462E+11,Union County Public Schools,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1467,83.6,17.55,9th Grade,12th Grade,High
SUN VALLEY HIGH,California,CA ,062271012520,Los Angeles Unified,1-Regular school,2-No,2-No,–,11-City: Large,344,–,†,9th Grade,12th Grade,High
SUN VALLEY HIGH SCHOOL,Arizona,AZ ,040035401733,American Charter Schools Foundation d.b.a. Sun Val (79877),4-Alternative/other school,1-Yes,–,2-No,11-City: Large,441,–,†,9th Grade,12th Grade,High
SUN VALLEY HS,Pennsylvania,PA ,4.21858E+11,Penn-Delco SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1050,74.3,14.13,9th Grade,12th Grade,High
SUN VALLEY MAGNET,California,CA ,062271003378,Los Angeles Unified,1-Regular school,2-No,1-Yes,–,11-City: Large,1497,–,†,6th Grade,12th Grade,High
SUN VALLEY MIDDLE,North Carolina,NC ,3.70462E+11,Union County Public Schools,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1144,64.37,17.77,6th Grade,8th Grade,Middle
SUN VIEW ELEMENTARY,California,CA ,062814004348,Ocean View,1-Regular school,2-No,2-No,–,21-Suburb: Large,0,–,†,Kindergarten,5th Grade,Elementary
SUNAPEE CENTRAL SCHOOL,New Hampshire,NH ,3.30654E+11,Sunapee School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,165,18.7,8.82,Kindergarten,5th Grade,Elementary
SUNAPEE MIDDLE HIGH SCHOOL,New Hampshire,NH ,3.30654E+11,Sunapee School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,98,10.3,9.51,6th Grade,8th Grade,Middle
SUNAPEE SR. HIGH SCHOOL,New Hampshire,NH ,3.30654E+11,Sunapee School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,148,14.5,10.21,9th Grade,13th Grade,High
SUNBEAM,Ohio,OH ,3.90438E+11,Cleveland Municipal,1-Regular school,2-No,–,2-No,11-City: Large,450,37,12.16,Prekindergarten,8th Grade,Elementary
SUNBRIDGE SCHOOLS,Ohio,OH ,3.90148E+11,SunBridge Schools,1-Regular school,1-Yes,–,2-No,21-Suburb: Large,307,19,16.16,Kindergarten,6th Grade,Elementary
SUNBRIGHT SCHOOL,Tennessee,TN ,4.70309E+11,Morgan County,1-Regular school,2-No,2-No,1-Yes,42-Rural: Distant,471,36,13.08,Prekindergarten,12th Grade,Other
SUNBURST  7 - 8,Montana,MT ,3.02532E+11,Sunburst K-12 Schools,1-Regular school,†,†,2-No,43-Rural: Remote,24,2.38,10.08,7th Grade,8th Grade,Middle
SUNBURST ELEMENTARY,Montana,MT ,3.02532E+11,Sunburst K-12 Schools,1-Regular school,†,†,2-No,43-Rural: Remote,68,8.34,8.15,Prekindergarten,6th Grade,Elementary
SUNBURST HIGH SCHOOL,Montana,MT ,3.02532E+11,Sunburst K-12 Schools,1-Regular school,†,†,2-No,43-Rural: Remote,41,6.69,6.13,9th Grade,12th Grade,High
SUNBURST SCHOOL,Arizona,AZ ,040906000942,Washington Elementary School District (4260),1-Regular school,2-No,–,2-No,11-City: Large,679,37,18.35,Prekindergarten,6th Grade,Elementary
SUNCOAST COMMUNITY HIGH SCHOOL,Florida,FL ,1.2015E+11,PALM BEACH,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,1542,83.5,18.47,9th Grade,12th Grade,High
SUNCOAST ELEMENTARY SCHOOL,Florida,FL ,1.20081E+11,HERNANDO,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,909,55,16.53,Prekindergarten,5th Grade,Elementary
SUNCOAST POLYTECHNICAL HIGH SCHOOL,Florida,FL ,1.20168E+11,SARASOTA,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,562,27,20.81,9th Grade,12th Grade,High
SUNCOAST SCHOOL FOR INNOVATIVE STUDIES,Florida,FL ,1.20168E+11,SARASOTA,1-Regular school,1-Yes,2-No,2-No,13-City: Small,327,23.92,13.67,Prekindergarten,8th Grade,Elementary
SUNCOAST TECHNICAL COLLEGE,Florida,FL ,1.20168E+11,SARASOTA,3-Vocational school,2-No,2-No,2-No,21-Suburb: Large,1,40.6,0.02,3rd Grade,12th Grade,Other
SUNCREST ELEMENTARY SCHOOL,West Virginia,WV ,5.40093E+11,MONONGALIA COUNTY SCHOOLS,1-Regular school,†,2-No,2-No,23-Suburb: Small,510,33,15.45,Prekindergarten,5th Grade,Elementary
SUNCREST ELEMENTARY SCHOOL,Indiana,IN ,1.80366E+11,Community Schools of Frankfort,1-Regular school,2-No,2-No,2-No,32-Town: Distant,577,34,16.97,Prekindergarten,5th Grade,Elementary
SUNCREST MIDDLE SCHOOL,West Virginia,WV ,5.40093E+11,MONONGALIA COUNTY SCHOOLS,1-Regular school,†,2-No,2-No,13-City: Small,502,33.9,14.81,6th Grade,8th Grade,Middle
SUNCREST SCHOOL,Utah,UT ,4.90003E+11,Alpine District,1-Regular school,2-No,2-No,2-No,13-City: Small,416,22.59,18.42,Prekindergarten,6th Grade,Elementary
SUNDALE COLONY ELEMENTARY SCHOOL,North Dakota,ND ,3.81293E+11,MILNOR 2,1-Regular school,†,†,2-No,43-Rural: Remote,28,3.7,7.57,Prekindergarten,6th Grade,Elementary
SUNDALE COLONY HIGH SCHOOL,NORTH DAKOTA,ND ,3.81293E+11,MILNOR 2,1-Regular school,†,†,2-No,43-Rural: Remote,17,2.3,7.39,7th Grade,12th Grade,High
SUNDALE ELEMENTARY,California,CA ,063834006453,Sundale Union Elementary,1-Regular school,2-No,2-No,–,41-Rural: Fringe,817,–,†,Kindergarten,8th Grade,Elementary
SUNDANCE ELEMENTARY,Wyoming,WY ,5.60237E+11,Crook County School District #1,1-Regular school,2-No,†,2-No,43-Rural: Remote,206,19.34,10.65,Kindergarten,6th Grade,Elementary
SUNDANCE ELEMENTARY,Arizona,AZ ,040138002490,Buckeye Elementary District (4269),1-Regular school,2-No,–,2-No,22-Suburb: Mid-size,858,38.78,22.12,Prekindergarten,8th Grade,Elementary
SUNDANCE ELEMENTARY,California,CA ,063153004895,Poway Unified,1-Regular school,2-No,2-No,–,11-City: Large,434,–,†,Kindergarten,5th Grade,Elementary
SUNDANCE ELEMENTARY,New Mexico,NM ,3.50168E+11,LOS LUNAS PUBLIC SCHOOLS,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,565,32.1,17.6,Prekindergarten,6th Grade,Elementary
SUNDANCE ELEMENTARY,California,CA ,060429011219,Beaumont Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,754,–,†,Kindergarten,5th Grade,Elementary
SUNDANCE ELEMENTARY SCHOOL,Arizona,AZ ,040625001137,Peoria Unified School District (4237),1-Regular school,2-No,–,2-No,21-Suburb: Large,639,36.33,17.59,Prekindergarten,8th Grade,Elementary
SUNDANCE SECONDARY SCHOOL,Wyoming,WY ,5.60237E+11,Crook County School District #1,1-Regular school,2-No,†,2-No,43-Rural: Remote,190,18.61,10.21,7th Grade,12th Grade,High
SUNDERLAND ELEMENTARY,Massachusetts,MA ,2.51137E+11,Sunderland,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,222,21.81,10.18,Prekindergarten,6th Grade,Elementary
SUNDERLAND ELEMENTARY,Maryland,MD ,2.40015E+11,Calvert County Public Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,723,39.3,18.4,Prekindergarten,5th Grade,Elementary
SUNDERLAND ELEMENTARY SCHOOL,VERMONT,VT ,5.00042E+11,Taconic and Green Regional School District,1-Regular school,†,2-No,2-No,42-Rural: Distant,89,7.4,12.03,Prekindergarten,6th Grade,Elementary
SUNDOWN EL,Texas,TX ,4.84185E+11,SUNDOWN ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,281,25.61,10.97,Prekindergarten,5th Grade,Elementary
SUNDOWN EL,Texas,TX ,4.82517E+11,KATY ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,771,66.13,11.66,Prekindergarten,5th Grade,Elementary
SUNDOWN ELEMENTARY,California,CA ,064212003262,Westside Union Elementary,1-Regular school,2-No,2-No,–,21-Suburb: Large,977,–,†,Kindergarten,6th Grade,Elementary
SUNDOWN H S,Texas,TX ,4.84185E+11,SUNDOWN ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,188,22.01,8.54,9th Grade,12th Grade,High
SUNDOWN J H,Texas,TX ,4.84185E+11,SUNDOWN ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,135,13.67,9.88,6th Grade,8th Grade,Middle
SUNDOWN LANE EL,Texas,TX ,4.81281E+11,CANYON ISD,1-Regular school,2-No,2-No,–,41-Rural: Fringe,330,22,15,Prekindergarten,4th Grade,Elementary
SUNED HIGH OF SOUTH BROWARD,FLORIDA,FL ,1.20018E+11,BROWARD,4-Alternative/other school,1-Yes,2-No,2-No,12-City: Mid-size,60,5,12,9th Grade,12th Grade,High
SUNED HIGH SCHOOL OF NORTH BROWARD,FLORIDA,FL ,1.20018E+11,BROWARD,4-Alternative/other school,1-Yes,2-No,2-No,21-Suburb: Large,324,9,36,9th Grade,12th Grade,High
SUNFIRE HIGH SCHOOL,Florida,FL ,1.20018E+11,BROWARD,4-Alternative/other school,1-Yes,2-No,2-No,21-Suburb: Large,289,2,144.5,9th Grade,12th Grade,High
SUNFIRE HIGH SCHOOL OF LEE COUNTY,FLORIDA,FL ,1.20108E+11,LEE,4-Alternative/other school,1-Yes,†,†,21-Suburb: Large,†,†,†,–,–,Not Reported
SUNFLOWER ELEM,Kansas,KS ,2.01164E+11,Shawnee Mission Pub Sch,1-Regular school,2-No,2-No,–,13-City: Small,363,23.7,15.32,Prekindergarten,6th Grade,Elementary
SUNFLOWER ELEM,Kansas,KS ,2.0105E+11,Paola,1-Regular school,2-No,2-No,–,32-Town: Distant,396,29,13.66,3rd Grade,5th Grade,Elementary
SUNFLOWER ELEMENTARY,Kansas,KS ,2.00642E+11,Gardner Edgerton,1-Regular school,2-No,2-No,–,21-Suburb: Large,355,27,13.15,Prekindergarten,4th Grade,Elementary
SUNFLOWER ELEMENTARY,California,CA ,061203005787,El Centro Elementary,1-Regular school,2-No,2-No,–,13-City: Small,442,–,†,Kindergarten,6th Grade,Elementary
SUNFLOWER ELEMENTARY,Kansas,KS ,2.0084E+11,Lawrence,1-Regular school,2-No,2-No,–,13-City: Small,435,31,14.03,Kindergarten,5th Grade,Elementary
SUNFLOWER ELEMENTARY,Wyoming,WY ,5.60147E+11,Campbell County School District #1,1-Regular school,2-No,†,2-No,33-Town: Remote,346,27.1,12.77,Kindergarten,6th Grade,Elementary
SUNFLOWER ELEMENTARY SCHOOL,Kansas,KS ,2.00873E+11,Liberal,1-Regular school,2-No,2-No,–,33-Town: Remote,621,33,18.82,Prekindergarten,5th Grade,Elementary
SUNFLOWER ELEMENTARY SCHOOL,Kansas,KS ,2.00336E+11,Andover,1-Regular school,2-No,2-No,–,41-Rural: Fringe,417,22.9,18.21,Prekindergarten,5th Grade,Elementary
SUNFLOWER ELEMENTARY SCHOOL,KANSAS,KS ,2.00002E+11,Ottawa,1-Regular school,2-No,2-No,–,41-Rural: Fringe,428,29.65,14.44,Prekindergarten,5th Grade,Elementary
SUNFLOWER LEARNING CENTER - WBL,MINNESOTA,MN ,2.70226E+11,NORTHEAST METRO 916,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,0,–,†,Prekindergarten,Prekindergarten,Prekindergarten
SUNFLOWER SCHOOL,ARIZONA,AZ ,040625003447,Peoria Unified School District (4237),2-Special education school,2-No,–,2-No,21-Suburb: Large,32,5,6.4,Prekindergarten,12th Grade,Other
SUNITA L. WILLIAMS ELEMENTARY,Massachusetts,MA ,2.50837E+11,Needham,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,518,37.25,13.91,Kindergarten,5th Grade,Elementary
SUNKIST ELEMENTARY,California,CA ,060261000168,Anaheim Elementary,1-Regular school,2-No,2-No,–,11-City: Large,627,–,†,Kindergarten,6th Grade,Elementary
SUNKIST ELEMENTARY,California,CA ,061785002206,Hueneme Elementary,1-Regular school,2-No,2-No,–,21-Suburb: Large,573,–,†,Kindergarten,6th Grade,Elementary
SUNKIST ELEMENTARY,California,CA ,060411000376,Bassett Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,441,–,†,Kindergarten,5th Grade,Elementary
SUNLAKE ACADEMY OF MATH AND SCIENCES,FLORIDA,FL ,1.20087E+11,HILLSBOROUGH,1-Regular school,1-Yes,2-No,2-No,21-Suburb: Large,706,51,13.84,Kindergarten,8th Grade,Elementary
SUNLAKE HIGH SCHOOL,Florida,FL ,1.20153E+11,PASCO,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1974,83.2,23.73,9th Grade,12th Grade,High
SUNLAND ELEMENTARY,California,CA ,062271003379,Los Angeles Unified,1-Regular school,2-No,1-Yes,–,11-City: Large,383,–,†,Kindergarten,5th Grade,Elementary
SUNLAND ELEMENTARY SCHOOL,Arizona,AZ ,040708000609,Roosevelt Elementary District (4279),1-Regular school,2-No,–,2-No,11-City: Large,620,32,19.38,Prekindergarten,8th Grade,Elementary
SUNLAND PARK ACADEMY,Florida,FL ,1.20018E+11,BROWARD,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,398,26,15.31,Prekindergarten,3rd Grade,Elementary
SUNLAND PARK ELEMENTARY,New Mexico,NM ,3.50108E+11,GADSDEN INDEPENDENT SCHOOLS,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,267,25,10.68,Prekindergarten,6th Grade,Elementary
SUNMAN ELEMENTARY SCHOOL,Indiana,IN ,1.81119E+11,Sunman-Dearborn Com Sch Corp,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,336,25.05,13.41,Kindergarten,5th Grade,Elementary
SUNMAN-DEARBORN MIDDLE SCHOOL,Indiana,IN ,1.81119E+11,Sunman-Dearborn Com Sch Corp,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,892,54.03,16.51,6th Grade,8th Grade,Middle
SUNMOUNT DEVELOPMENTAL CENTER,NEW YORK,NY ,3.60095E+11,NYS OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES,2-Special education school,2-No,2-No,2-No,41-Rural: Fringe,9,–,†,10th Grade,10th Grade,Secondary
SUNNY BRAE AVENUE ELEMENTARY,California,CA ,062271003380,Los Angeles Unified,1-Regular school,2-No,2-No,–,11-City: Large,504,–,†,Kindergarten,5th Grade,Elementary
SUNNY BRAE MIDDLE,California,CA ,060300000236,Arcata Elementary,1-Regular school,2-No,2-No,–,33-Town: Remote,223,–,†,6th Grade,8th Grade,Middle
SUNNY HEIGHTS ELEMENTARY SCHOOL,Indiana,IN ,1.81236E+11,M S D Warren Township,1-Regular school,2-No,2-No,2-No,11-City: Large,469,24,19.54,Kindergarten,4th Grade,Elementary
SUNNY HILL ELEM SCHOOL,Illinois,IL ,1.70505E+11,Barrington CUSD 220,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,335,32.6,10.28,Kindergarten,5th Grade,Elementary
SUNNY HILLS ELEMENTARY,Washington,WA ,5.30375E+11,Issaquah School District,1-Regular school,2-No,2-No,–,21-Suburb: Large,796,45.24,17.6,Kindergarten,5th Grade,Elementary
SUNNY HILLS HIGH,California,CA ,061476001815,Fullerton Joint Union High,1-Regular school,2-No,1-Yes,–,21-Suburb: Large,2340,–,†,9th Grade,12th Grade,High
SUNNY POINTE ELEM.,Missouri,MO ,2.90531E+11,BLUE SPRINGS R-IV,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,552,35.4,15.59,Kindergarten,5th Grade,Elementary
SUNNY SANDS ELEMENTARY,California,CA ,062955009603,Palm Springs Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,718,–,†,Kindergarten,5th Grade,Elementary
SUNNY SLOPE ELEM SCHOOL,Nebraska,NE ,3.17482E+11,OMAHA PUBLIC SCHOOLS,1-Regular school,†,†,2-No,11-City: Large,436,26.37,16.53,Prekindergarten,5th Grade,Elementary
SUNNY VIEW ELEMENTARY SCHOOL,North Carolina,NC ,3.70372E+11,Polk County Schools,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,127,11.24,11.3,Prekindergarten,5th Grade,Elementary
SUNNY WOLF CHARTER SCHOOL,Oregon,OR ,4.1069E+11,Three Rivers/Josephine County SD,1-Regular school,1-Yes,†,–,42-Rural: Distant,113,6,18.83,Kindergarten,5th Grade,Elementary
SUNNYBRAE ELEMENTARY,California,CA ,063492005917,San Mateo-Foster City,1-Regular school,2-No,1-Yes,–,12-City: Mid-size,413,–,†,Kindergarten,5th Grade,Elementary
SUNNYBRAE ELEMENTARY SCHOOL,New Jersey,NJ ,3.40654E+11,Hamilton Township Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,322,26.58,12.11,Prekindergarten,5th Grade,Elementary
SUNNYCREST ELEMENTARY SCHOOL,Washington,WA ,5.3042E+11,Lake Stevens School District,1-Regular school,2-No,2-No,–,22-Suburb: Mid-size,590,31.24,18.89,Prekindergarten,5th Grade,Elementary
SUNNYCREST ELEMENTARY SCHOOL,Washington,WA ,5.30282E+11,Federal Way School District,1-Regular school,2-No,2-No,–,12-City: Mid-size,563,38.01,14.81,Prekindergarten,5th Grade,Elementary
SUNNYDALE ELEM SCHOOL,Illinois,IL ,1.71371E+11,SD U-46,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,380,25,15.2,Kindergarten,6th Grade,Elementary
SUNNYDALE ELEMENTARY,California,CA ,062088002514,Lancaster Elementary,1-Regular school,2-No,2-No,–,21-Suburb: Large,644,–,†,Kindergarten,6th Grade,Elementary
SUNNYLAND ELEMENTARY SCHOOL,Washington,WA ,5.30042E+11,Bellingham School District,1-Regular school,2-No,2-No,–,13-City: Small,310,21.07,14.71,Prekindergarten,5th Grade,Elementary
SUNNYMEAD ELEMENTARY,California,CA ,062580003870,Moreno Valley Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,799,–,†,Kindergarten,5th Grade,Elementary
SUNNYMEAD ELEMENTARY SCHOOL,New Jersey,NJ ,3.40723E+11,Hillsborough Township Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,493,32.07,15.37,Prekindergarten,4th Grade,Elementary
SUNNYMEAD MIDDLE,California,CA ,062580009585,Moreno Valley Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,1413,–,†,6th Grade,8th Grade,Middle
SUNNYMEADOWS ELEMENTARY,California,CA ,062580008167,Moreno Valley Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,607,–,†,Kindergarten,5th Grade,Elementary
SUNNYMEDE ELEMENTARY SCHOOL,Arkansas,AR ,050633000375,FORT SMITH SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,13-City: Small,611,31.5,19.4,Prekindergarten,6th Grade,Elementary
SUNNYSIDE ELEM,Kansas,KS ,2.00558E+11,Dodge City,1-Regular school,2-No,2-No,–,33-Town: Remote,342,19.7,17.36,Prekindergarten,5th Grade,Elementary
SUNNYSIDE ELEM,Virginia,VA ,5.10117E+11,DINWIDDIE CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,281,18.48,15.21,Kindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY,Washington,WA ,5.30486E+11,Marysville School District,1-Regular school,2-No,2-No,–,22-Suburb: Mid-size,527,31.19,16.9,Kindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY,California,CA ,063441005672,San Francisco Unified,1-Regular school,2-No,2-No,–,11-City: Large,376,–,†,Kindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY,California,CA ,061488001883,Garden Grove Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,622,–,†,Kindergarten,6th Grade,Elementary
SUNNYSIDE ELEMENTARY,California,CA ,063843006455,Sunnyside Union Elementary,1-Regular school,2-No,2-No,–,41-Rural: Fringe,368,–,†,Kindergarten,8th Grade,Elementary
SUNNYSIDE ELEMENTARY,Minnesota,MN ,2.72295E+11,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,530,40.37,13.13,1st Grade,5th Grade,Elementary
SUNNYSIDE ELEMENTARY,Washington,WA ,5.30693E+11,Pullman School District,1-Regular school,2-No,2-No,–,32-Town: Distant,326,22.12,14.74,Prekindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY,Wisconsin,WI ,5.51233E+11,Pulaski Community School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,481,34.09,14.11,Prekindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY,North Carolina,NC ,3.70001E+11,Cumberland County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,337,24.5,13.76,Kindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY,Minnesota,MN ,2.73048E+11,RED WING PUBLIC SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,442,29.95,14.76,Kindergarten,2nd Grade,Elementary
SUNNYSIDE ELEMENTARY,California,CA ,060861000878,Chula Vista Elementary,1-Regular school,2-No,2-No,–,21-Suburb: Large,446,–,†,Kindergarten,6th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Iowa,IA ,1.9264E+11,Sioux City Comm School District,1-Regular school,2-No,†,2-No,13-City: Small,246,12.7,19.37,3rd Grade,5th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Delaware,DE ,1.00162E+11,Smyrna School District,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,553,34,16.26,Kindergarten,4th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Colorado,CO ,080348000457,Durango School District No. 9-R,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,154,11.4,13.51,Prekindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,North Dakota,ND ,3.81303E+11,MINOT 1,1-Regular school,†,†,2-No,33-Town: Remote,290,21.9,13.24,Kindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Iowa,IA ,1.90579E+11,Burlington Comm School District,1-Regular school,2-No,†,2-No,33-Town: Remote,359,30.98,11.59,Prekindergarten,4th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Oregon,OR ,4.10883E+11,North Clackamas SD 12,1-Regular school,2-No,†,–,21-Suburb: Large,569,26.44,21.52,Kindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Idaho,ID ,1.60153E+11,IDAHO FALLS DISTRICT,1-Regular school,2-No,2-No,2-No,13-City: Small,661,27,24.48,Prekindergarten,6th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Indiana,IN ,1.80567E+11,M S D Lawrence Township,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,728,36,20.22,1st Grade,6th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Kansas,KS ,2.01014E+11,Olathe,1-Regular school,2-No,2-No,–,21-Suburb: Large,377,25.2,14.96,Prekindergarten,5th Grade,Elementary
SUNNYSIDE ELEMENTARY SCHOOL,Indiana,IN ,1.80744E+11,New Castle Community School Corp,1-Regular school,2-No,2-No,2-No,32-Town: Distant,77,9,8.56,Kindergarten,4th Grade,Elementary
SUNNYSIDE ENVIRONMENTAL SCHOOL,Oregon,OR ,4.11004E+11,Portland SD 1J,1-Regular school,2-No,†,–,11-City: Large,549,28.5,19.26,Kindergarten,8th Grade,Elementary
SUNNYSIDE HIGH,California,CA ,061455007963,Fresno Unified,1-Regular school,2-No,2-No,–,11-City: Large,3021,–,†,9th Grade,12th Grade,High
SUNNYSIDE HIGH SCHOOL,Washington,WA ,5.30867E+11,Sunnyside School District,1-Regular school,2-No,2-No,–,32-Town: Distant,2088,95.5,21.86,9th Grade,12th Grade,High
SUNNYSIDE HIGH SCHOOL,Arizona,AZ ,040817000743,Sunnyside Unified District (4407),1-Regular school,2-No,–,2-No,11-City: Large,2129,100.5,21.18,9th Grade,12th Grade,High
SUNNYSIDE INTERMEDIATE SCHOOL,Illinois,IL ,1.706E+11,Berkeley SD 87,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,424,29,14.62,3rd Grade,5th Grade,Elementary
SUNNYSIDE ONLINE SUCCESS ACADEMY,Arizona,AZ ,040817003316,Sunnyside Unified District (4407),1-Regular school,2-No,–,2-No,11-City: Large,32,–,†,Kindergarten,12th Grade,Other
SUNNYSIDE SCHOOL,Connecticut,CT ,090405000003,Shelton School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,254,18.7,13.58,Prekindergarten,4th Grade,Elementary
SUNNYSIDE SCHOOL,Montana,MT ,3.01304E+11,Great Falls Elem,1-Regular school,†,†,2-No,13-City: Small,399,25.65,15.56,Prekindergarten,6th Grade,Elementary
